Temperature logger

#Date	#Time	#Temperature
2017.04.19	15:17:37,0769	25,053
2017.04.19	15:18:07,0549	24,986
2017.04.19	15:18:37,0809	24,971
2017.04.19	15:19:07,0919	25,386
2017.04.19	15:19:37,1179	26,233
2017.04.19	15:20:07,1279	27,449
2017.04.19	15:20:37,1389	29,071
2017.04.19	15:21:07,1529	30,825
2017.04.19	15:21:37,0799	32,769
2017.04.19	15:22:07,0899	34,968
2017.04.19	15:22:37,1159	37,104
2017.04.19	15:23:07,1269	39,250
2017.04.19	15:23:37,1369	41,436
2017.04.19	15:24:07,1469	43,748
2017.04.19	15:24:37,0779	45,908
2017.04.19	15:25:07,1039	48,029
2017.04.19	15:25:37,1139	50,294
2017.04.19	15:26:07,1409	52,361
2017.04.19	15:26:37,1349	54,373
2017.04.19	15:27:07,1609	56,367
2017.04.19	15:27:37,0919	58,474
2017.04.19	15:28:07,1179	60,408
2017.04.19	15:28:37,1119	61,975
2017.04.19	15:29:07,1229	62,110
2017.04.19	15:29:37,1489	61,945
2017.04.19	15:30:07,1599	61,725
2017.04.19	15:30:37,0899	62,252
2017.04.19	15:31:07,0999	64,190
2017.04.19	15:31:37,1109	65,746
2017.04.19	15:32:07,1369	67,218
2017.04.19	15:32:37,1469	68,819
2017.04.19	15:33:07,1569	70,370
2017.04.19	15:33:37,0879	71,950
2017.04.19	15:34:07,0979	73,347
2017.04.19	15:34:37,1139	74,429
2017.04.19	15:35:07,1399	75,094
2017.04.19	15:35:37,1449	75,497
2017.04.19	15:36:07,1709	75,779
2017.04.19	15:36:37,0859	75,915
2017.04.19	15:37:07,0959	76,022
2017.04.19	15:37:37,1219	76,133
2017.04.19	15:38:07,1329	76,293
2017.04.19	15:38:37,1589	76,504
2017.04.19	15:39:07,1689	76,789
2017.04.19	15:39:37,0839	77,121
2017.04.19	15:40:07,0939	77,441
2017.04.19	15:40:37,1209	77,762
2017.04.19	15:41:07,1149	78,064
2017.04.19	15:41:37,1409	78,389
2017.04.19	15:42:07,1519	78,674
2017.04.19	15:42:37,0849	78,939
2017.04.19	15:43:07,0969	79,191
2017.04.19	15:43:37,1029	79,375
2017.04.19	15:44:07,1289	79,504
2017.04.19	15:44:37,1389	79,576
2017.04.19	15:45:07,1499	79,599
2017.04.19	15:45:37,0799	79,571
2017.04.19	15:46:07,0899	79,511
2017.04.19	15:46:37,1009	79,425
2017.04.19	15:47:07,1269	79,341
2017.04.19	15:47:37,1369	79,253
2017.04.19	15:48:07,1629	79,173
2017.04.19	15:48:37,0779	79,082
2017.04.19	15:49:07,0889	79,017
2017.04.19	15:49:37,1149	78,967
2017.04.19	15:50:07,1409	78,936
2017.04.19	15:50:37,1509	78,921
2017.04.19	15:51:07,1669	78,926
2017.04.19	15:51:37,0919	78,938
2017.04.19	15:52:07,1019	78,963
2017.04.19	15:52:37,1129	78,992
2017.04.19	15:53:07,1389	79,016
2017.04.19	15:53:37,1489	79,044
2017.04.19	15:54:07,1599	79,069
2017.04.19	15:54:37,0899	79,094
2017.04.19	15:55:07,0999	79,122
2017.04.19	15:55:37,1109	79,149
2017.04.19	15:56:07,1369	79,164
2017.04.19	15:56:37,1479	79,183
2017.04.19	15:57:07,1739	79,204
2017.04.19	15:57:37,0879	79,216
2017.04.19	15:58:07,0989	79,233
2017.04.19	15:58:37,1249	79,240
2017.04.19	15:59:07,1349	79,245
2017.04.19	15:59:37,1619	79,248
2017.04.19	16:00:07,1559	79,253
2017.04.19	16:00:37,1019	79,250
2017.04.19	16:01:07,1169	79,249
2017.04.19	16:01:37,1069	79,245
2017.04.19	16:02:07,1329	79,249
2017.04.19	16:02:37,1429	79,251
2017.04.19	16:03:07,1699	79,254
2017.04.19	16:03:37,0999	79,257
2017.04.19	16:04:07,0949	79,259
2017.04.19	16:04:37,1209	79,262
2017.04.19	16:05:07,1329	79,271
2017.04.19	16:05:37,1579	79,280
2017.04.19	16:06:07,1679	79,292
2017.04.19	16:06:37,0818	79,304
2017.04.19	16:07:07,1079	79,315
2017.04.19	16:07:37,1189	79,322
2017.04.19	16:08:07,1289	79,333
2017.04.19	16:08:37,1569	79,343
2017.04.19	16:09:07,0858	79,355
2017.04.19	16:09:37,0958	79,366
2017.04.19	16:10:07,1068	79,379
2017.04.19	16:10:37,1169	79,394
2017.04.19	16:11:07,1429	79,409
2017.04.19	16:11:37,1539	79,420
2017.04.19	16:12:07,0678	79,427
2017.04.19	16:12:37,0938	79,437
2017.04.19	16:13:07,1048	79,435
2017.04.19	16:13:37,1309	79,429
2017.04.19	16:14:07,1409	79,437
2017.04.19	16:14:37,1679	79,442
2017.04.19	16:15:07,0818	79,441
2017.04.19	16:15:37,0918	79,434
2017.04.19	16:16:07,1028	79,431
2017.04.19	16:16:37,1338	79,432
2017.04.19	16:17:07,1388	79,436
2017.04.19	16:17:37,1659	79,437
2017.04.19	16:18:07,1278	79,437
2017.04.19	16:18:37,0898	79,440
2017.04.19	16:19:07,1168	79,441
2017.04.19	16:19:37,1268	79,439
2017.04.19	16:20:07,1528	79,438
2017.04.19	16:20:37,1638	79,438
2017.04.19	16:21:07,0778	79,442
2017.04.19	16:21:37,1198	79,447
2017.04.19	16:22:07,1148	79,452
2017.04.19	16:22:37,1248	79,453
2017.04.19	16:23:07,1348	79,456
2017.04.19	16:23:37,1618	79,459
2017.04.19	16:24:07,0918	79,461
2017.04.19	16:24:37,1018	79,468
2017.04.19	16:25:07,1128	79,472
2017.04.19	16:25:37,1228	79,474
2017.04.19	16:26:07,1488	79,477
2017.04.19	16:26:37,1598	79,480
2017.04.19	16:27:07,0738	79,486
2017.04.19	16:27:37,0998	79,494
2017.04.19	16:28:07,1108	79,502
2017.04.19	16:28:37,1368	79,505
2017.04.19	16:29:07,1478	79,510
2017.04.19	16:29:37,1578	79,511
2017.04.19	16:30:07,0878	79,514
2017.04.19	16:30:37,1148	79,515
2017.04.19	16:31:07,1088	79,515
2017.04.19	16:31:37,1348	79,523
2017.04.19	16:32:07,1458	79,526
2017.04.19	16:32:37,1718	79,534
2017.04.19	16:33:07,0858	79,538
2017.04.19	16:33:37,0968	79,541
2017.04.19	16:34:07,1228	79,541
2017.04.19	16:34:37,1328	79,546
2017.04.19	16:35:07,1598	79,554
2017.04.19	16:35:37,1698	79,562
2017.04.19	16:36:07,0838	79,570
2017.04.19	16:36:37,0948	79,574
2017.04.19	16:37:07,1048	79,577
2017.04.19	16:37:37,1308	79,581
2017.04.19	16:38:07,1418	79,581
2017.04.19	16:38:37,1518	79,583
2017.04.19	16:39:07,0978	79,587
2017.04.19	16:39:37,0928	79,589
2017.04.19	16:40:07,1028	79,594
2017.04.19	16:40:37,1128	79,597
2017.04.19	16:41:07,1398	79,598
2017.04.19	16:41:37,1658	79,602
2017.04.19	16:42:07,0798	79,604
2017.04.19	16:42:37,0908	79,609
2017.04.19	16:43:07,1008	79,614
2017.04.19	16:43:37,1268	79,615
2017.04.19	16:44:07,1378	79,611
2017.04.19	16:44:37,1638	79,609
2017.04.19	16:45:07,0778	79,604
2017.04.19	16:45:37,1048	79,604
2017.04.19	16:46:07,1468	79,603
2017.04.19	16:46:37,1258	79,604
2017.04.19	16:47:07,1358	79,606
2017.04.19	16:47:37,1618	79,610
2017.04.19	16:48:07,0758	79,613
2017.04.19	16:48:37,1028	79,613
2017.04.19	16:49:07,1128	79,612
2017.04.19	16:49:37,1708	79,615
2017.04.19	16:50:07,1498	79,612
2017.04.19	16:50:37,1758	79,613
2017.04.19	16:51:07,0898	79,611
2017.04.19	16:51:37,1008	79,611
2017.04.19	16:52:07,1108	79,611
2017.04.19	16:52:37,1368	79,610
2017.04.19	16:53:07,1638	79,611
2017.04.19	16:53:37,1578	79,614
2017.04.19	16:54:07,0888	79,618
2017.04.19	16:54:37,1148	79,620
2017.04.19	16:55:07,1088	79,623
2017.04.19	16:55:37,1198	79,627
2017.04.19	16:56:07,1458	79,630
2017.04.19	16:56:37,1558	79,634
2017.04.19	16:57:07,0868	79,638
2017.04.19	16:57:37,0968	79,642
2017.04.19	16:58:07,1228	79,644
2017.04.19	16:58:37,1328	79,646
2017.04.19	16:59:07,1598	79,648
2017.04.19	16:59:37,1538	79,646
2017.04.19	17:00:07,1158	79,644
2017.04.19	17:00:37,1108	79,647
2017.04.19	17:01:07,1208	79,649
2017.04.19	17:01:37,1468	79,653
2017.04.19	17:02:07,1488	79,653
2017.04.19	17:02:37,1678	79,652
2017.04.19	17:03:07,0978	79,658
2017.04.19	17:03:37,1088	79,662
2017.04.19	17:04:07,1188	79,663
2017.04.19	17:04:37,1298	79,661
2017.04.19	17:05:07,1558	79,660
2017.04.19	17:05:37,0858	79,661
2017.04.19	17:06:07,0968	79,661
2017.04.19	17:06:37,1128	79,662
2017.04.19	17:07:07,1328	79,665
2017.04.19	17:07:37,1438	79,666
2017.04.19	17:08:07,1538	79,669
2017.04.19	17:08:37,0838	79,670
2017.04.19	17:09:07,0948	79,672
2017.04.19	17:09:37,1048	79,674
2017.04.19	17:10:07,1158	79,674
2017.04.19	17:10:37,1898	79,675
2017.04.19	17:11:07,1518	79,676
2017.04.19	17:11:37,0978	79,680
2017.04.19	17:12:07,0928	79,680
2017.04.19	17:12:37,1028	79,681
2017.04.19	17:13:07,1288	79,682
2017.04.19	17:13:37,1398	79,687
2017.04.19	17:14:07,1978	79,689
2017.04.19	17:14:37,0798	79,696
2017.04.19	17:15:07,0908	79,695
2017.04.19	17:15:37,1168	79,696
2017.04.19	17:16:07,1268	79,700
2017.04.19	17:16:37,1538	79,700
2017.04.19	17:17:07,1638	79,699
2017.04.19	17:17:37,0788	79,698
2017.04.19	17:18:07,1048	79,697
2017.04.19	17:18:37,1148	79,697
2017.04.19	17:19:07,1248	79,699
2017.04.19	17:19:37,1518	79,697
2017.04.19	17:20:07,1618	79,696
2017.04.19	17:20:37,0918	79,695
2017.04.19	17:21:07,1508	79,698
2017.04.19	17:21:37,1128	79,703
2017.04.19	17:22:07,1388	79,707
2017.04.19	17:22:37,1498	79,707
2017.04.19	17:23:07,1598	79,708
2017.04.19	17:23:37,0908	79,708
2017.04.19	17:24:07,1018	79,711
2017.04.19	17:24:37,1428	79,709
2017.04.19	17:25:07,1208	79,711
2017.04.19	17:25:37,1478	79,711
2017.04.19	17:26:07,1578	79,714
2017.04.19	17:26:37,0878	79,716
2017.04.19	17:27:07,1148	79,717
2017.04.19	17:27:37,1088	79,719
2017.04.19	17:28:07,1508	79,722
2017.04.19	17:28:37,1458	79,725
2017.04.19	17:29:07,1558	79,724
2017.04.19	17:29:37,0868	79,724
2017.04.19	17:30:07,0978	79,723
2017.04.19	17:30:37,1228	79,726
2017.04.19	17:31:07,1328	79,727
2017.04.19	17:31:37,1598	79,727
2017.04.19	17:32:07,1698	79,730
2017.04.19	17:32:37,0678	79,731
2017.04.19	17:33:07,1098	79,733
2017.04.19	17:33:37,1048	79,735
2017.04.19	17:34:07,1158	79,739
2017.04.19	17:34:37,1418	79,740
2017.04.19	17:35:07,1518	79,743
2017.04.19	17:35:37,0838	79,743
2017.04.19	17:36:07,0928	79,741
2017.04.19	17:36:37,1028	79,741
2017.04.19	17:37:07,1128	79,742
2017.04.19	17:37:37,1398	79,741
2017.04.19	17:38:07,1508	79,740
2017.04.19	17:38:37,0798	79,742
2017.04.19	17:39:07,0908	79,745
2017.04.19	17:39:37,1008	79,746
2017.04.19	17:40:07,1278	79,747
2017.04.19	17:40:37,1378	79,747
2017.04.19	17:41:07,1488	79,747
2017.04.19	17:41:37,0778	79,747
2017.04.19	17:42:07,0888	79,748
2017.04.19	17:42:37,1168	79,753
2017.04.19	17:43:07,1258	79,755
2017.04.19	17:43:37,1358	79,759
2017.04.19	17:44:07,1618	79,764
2017.04.19	17:44:37,0768	79,768
2017.04.19	17:45:07,0868	79,772
2017.04.19	17:45:37,1138	79,771
2017.04.19	17:46:07,1398	79,773
2017.04.19	17:46:37,1498	79,775
2017.04.19	17:47:07,1598	79,775
2017.04.19	17:47:37,0908	79,778
2017.04.19	17:48:07,1028	79,778
2017.04.19	17:48:37,1118	79,778
2017.04.19	17:49:07,1858	79,777
2017.04.19	17:49:37,1478	79,775
2017.04.19	17:50:07,1588	79,775
2017.04.19	17:50:37,0888	79,777
2017.04.19	17:51:07,0988	79,777
2017.04.19	17:51:37,1088	79,775
2017.04.19	17:52:07,1358	79,772
2017.04.19	17:52:37,1888	79,769
2017.04.19	17:53:07,1718	79,771
2017.04.19	17:53:37,0858	79,772
2017.04.19	17:54:07,0978	79,774
2017.04.19	17:54:37,1228	79,776
2017.04.19	17:55:07,1328	79,774
2017.04.19	17:55:37,1608	79,772
2017.04.19	17:56:07,1858	79,771
2017.04.19	17:56:37,0848	79,771
2017.04.19	17:57:07,1108	79,773
2017.04.19	17:57:37,1228	79,774
2017.04.19	17:58:07,1318	79,776
2017.04.19	17:58:37,1418	79,778
2017.04.19	17:59:07,1678	79,779
2017.04.19	17:59:37,0978	79,781
2017.04.19	18:00:07,0928	79,786
2017.04.19	18:00:37,1188	79,786
2017.04.19	18:01:07,1298	79,788
2017.04.19	18:01:37,1728	79,790
2017.04.19	18:02:07,0698	79,792
2017.04.19	18:02:37,0828	79,795
2017.04.19	18:03:07,1088	79,795
2017.04.19	18:03:37,1338	79,795
2017.04.19	18:04:07,1278	79,794
2017.04.19	18:04:37,1588	79,793
2017.04.19	18:05:07,0848	79,791
2017.04.19	18:05:37,0948	79,790
2017.04.19	18:06:07,1048	79,790
2017.04.19	18:06:37,1158	79,787
2017.04.19	18:07:07,1418	79,784
2017.04.19	18:07:37,1518	79,784
2017.04.19	18:08:07,0828	79,782
2017.04.19	18:08:37,0928	79,781
2017.04.19	18:09:07,1028	79,779
2017.04.19	18:09:37,1298	79,778
2017.04.19	18:10:07,1398	79,778
2017.04.19	18:10:37,1498	79,779
2017.04.19	18:11:07,0808	79,779
2017.04.19	18:11:37,0908	79,778
2017.04.19	18:12:07,1168	79,784
2017.04.19	18:12:37,1278	79,791
2017.04.19	18:13:07,1378	79,797
2017.04.19	18:13:37,1638	79,805
2017.04.19	18:14:07,0788	79,808
2017.04.19	18:14:37,1048	79,813
2017.04.19	18:15:07,1148	79,816
2017.04.19	18:15:37,1258	79,821
2017.04.19	18:16:07,1518	79,822
2017.04.19	18:16:37,1618	79,820
2017.04.19	18:17:07,0928	79,821
2017.04.19	18:17:37,1028	79,821
2017.04.19	18:18:07,1138	79,820
2017.04.19	18:18:37,1398	79,818
2017.04.19	18:19:07,1498	79,816
2017.04.19	18:19:37,1608	79,814
2017.04.19	18:20:07,0908	79,812
2017.04.19	18:20:37,1008	79,811
2017.04.19	18:21:07,1148	79,811
2017.04.19	18:21:37,1378	79,811
2017.04.19	18:22:07,1478	79,811
2017.04.19	18:22:37,1738	79,810
2017.04.19	18:23:07,0888	79,812
2017.04.19	18:23:37,0988	79,812
2017.04.19	18:24:07,1248	79,813
2017.04.19	18:24:37,1358	79,817
2017.04.19	18:25:07,1458	79,815
2017.04.19	18:25:37,1568	79,815
2017.04.19	18:26:07,0868	79,818
2017.04.19	18:26:37,1128	79,818
2017.04.19	18:27:07,1238	79,819
2017.04.19	18:27:37,1338	79,823
2017.04.19	18:28:07,1438	79,824
2017.04.19	18:28:37,1708	79,823
2017.04.19	18:29:07,0848	79,823
2017.04.19	18:29:37,0948	79,823
2017.04.19	18:30:07,1058	79,824
2017.04.19	18:30:37,1318	79,825
2017.04.19	18:31:07,1418	79,835
2017.04.19	18:31:37,1528	79,871
2017.04.19	18:32:07,0828	79,945
2017.04.19	18:32:37,0928	80,065
2017.04.19	18:33:07,1038	80,274
2017.04.19	18:33:37,1318	80,564
2017.04.19	18:34:07,1398	80,961
2017.04.19	18:34:37,1668	81,451
2017.04.19	18:35:07,0664	82,052
2017.04.19	18:35:37,0494	82,652
2017.04.19	18:36:07,0494	83,259
2017.04.19	18:36:37,0324	83,918
2017.04.19	18:37:07,0323	84,517
2017.04.19	18:37:37,0003	85,098
2017.04.19	18:38:06,9983	85,659
2017.04.19	18:38:36,9823	86,223
2017.04.19	18:39:06,9813	86,727
2017.04.19	18:39:36,9643	87,209
2017.04.19	18:40:06,9563	87,698
2017.04.19	18:40:36,9703	88,131
2017.04.19	18:41:06,9743	88,534
2017.04.19	18:41:36,9983	88,962
2017.04.19	18:42:06,9813	89,366
2017.04.19	18:42:36,9793	89,759
2017.04.19	18:43:06,9943	90,158
2017.04.19	18:43:36,9773	90,590
2017.04.19	18:44:06,9903	91,008
2017.04.19	18:44:36,9893	91,435
2017.04.19	18:45:07,0066	91,911
2017.04.19	18:45:37,0156	92,361
2017.04.19	18:46:07,0156	92,827
2017.04.19	18:46:37,0356	93,308
2017.04.19	18:47:07,0396	93,828
2017.04.19	18:47:37,0605	94,330
2017.04.19	18:48:07,0645	94,837
2017.04.19	18:48:37,0685	95,380
2017.04.19	18:49:07,0735	95,872
2017.04.19	18:49:37,0935	96,357
2017.04.19	18:50:07,1152	96,844
